angle, fsin, fcos, sin, cos, dsin, dcos
0, 0, 1, 0, 1, 0, 0/n
0.01, 0.0001745329243133368, 0.9999999847691291, 0.0001745329243133368, 0.9999999847691291, 0, 0/n
0.02, 0.00034906584331009674, 0.9999999390765166, 0.00034906584331009674, 0.9999999390765166, 0, 0/n
0.03, 0.0005235987516737029, 0.9999998629221643, 0.0005235987516737029, 0.9999998629221643, 0, 0/n
0.04, 0.0006981316440875792, 0.9999997563060741, 0.0006981316440875792, 0.9999997563060741, 0, 0/n
0.05, 0.0008726645152351496, 0.9999996192282494, 0.0008726645152351496, 0.9999996192282494, 0, 0/n
0.06, 0.0010471973597998385, 0.9999994516886945, 0.0010471973597998385, 0.9999994516886945, 0, 0/n
0.07, 0.001221730172465072, 0.9999992536874144, 0.001221730172465072, 0.9999992536874144, 0, 0/n
0.08, 0.0013962629479142763, 0.9999990252244151, 0.0013962629479142763, 0.9999990252244151, 0, 0/n
0.09, 0.0015707956808308787, 0.9999987662997035, 0.0015707956808308787, 0.9999987662997035, 0, 0/n
0.1, 0.0017453283658983088, 0.9999984769132877, 0.0017453283658983088, 0.9999984769132877, 0, 0/n
0.11, 0.0019198609977999967, 0.9999981570651764, 0.0019198609977999967, 0.9999981570651764, 0, 0/n
0.12, 0.002094393571219374, 0.9999978067553793, 0.002094393571219374, 0.9999978067553793, 0, 0/n
0.13, 0.0022689260808398757, 0.9999974259839071, 0.0022689260808398757, 0.9999974259839071, 0, 0/n
0.14, 0.0024434585213449363, 0.9999970147507714, 0.0024434585213449363, 0.9999970147507714, 0, 0/n
0.15, 0.0026179908874179934, 0.9999965730559848, 0.0026179908874179934, 0.9999965730559848, 0, 0/n
0.16, 0.002792523173742489, 0.9999961008995606, 0.002792523173742489, 0.9999961008995606, 0, 0/n
0.17, 0.0029670553750018635, 0.9999955982815133, 0.0029670553750018635, 0.9999955982815133, 0, 0/n
0.18, 0.003141587485879563, 0.9999950652018582, 0.003141587485879563, 0.9999950652018582, 0, 0/n
0.19, 0.003316119501059036, 0.9999945016606114, 0.003316119501059036, 0.9999945016606114, 0, 0/n
0.2, 0.003490651415223732, 0.9999939076577904, 0.003490651415223732, 0.9999939076577904, 0, 0/n
0.21, 0.003665183223057106, 0.999993283193413, 0.003665183223057106, 0.999993283193413, 0, 0/n
0.22, 0.0038397149192426145, 0.9999926282674982, 0.0038397149192426145, 0.9999926282674982, 0, 0/n
0.23, 0.004014246498463718, 0.9999919428800662, 0.004014246498463718, 0.9999919428800662, 0, 0/n
0.24, 0.0041887779554038804, 0.9999912270311376, 0.0041887779554038804, 0.9999912270311376, 0, 0/n
0.25, 0.004363309284746571, 0.9999904807207345, 0.004363309284746571, 0.9999904807207345, 0, 0/n
0.26, 0.00453784048117526, 0.9999897039488793, 0.00453784048117526, 0.9999897039488793, 0, 0/n
0.27, 0.004712371539373423, 0.999988896715596, 0.004712371539373423, 0.999988896715596, 0, 0/n
0.28, 0.0048869024540245404, 0.9999880590209089, 0.0048869024540245404, 0.9999880590209089, 0, 0/n
0.29, 0.005061433219812096, 0.9999871908648437, 0.005061433219812096, 0.9999871908648437, 0, 0/n
0.3, 0.00523596383141958, 0.9999862922474267, 0.00523596383141958, 0.9999862922474267, 0, 0/n
0.31, 0.005410494283530485, 0.9999853631686856, 0.005410494283530485, 0.9999853631686856, 0, 0/n
0.32, 0.00558502457082831, 0.9999844036286483, 0.00558502457082831, 0.9999844036286483, 0, 0/n
0.33, 0.005759554687996557, 0.9999834136273441, 0.005759554687996557, 0.9999834136273441, 0, 0/n
0.34, 0.005934084629718736, 0.9999823931648033, 0.005934084629718736, 0.9999823931648033, 0, 0/n
0.35, 0.006108614390678362, 0.9999813422410571, 0.006108614390678361, 0.9999813422410571, 0.0000000000000000008673617379884035, 0/n
